Words,Frequency
strictly,5
reckoned,1
commentat,1
orshewasaddedtotheirnumberbychitienpaobeingwronglyplacedafter,1
best,14
poet,2
bright,1
star,1
glorious,1
galaxy,1
learn,6
dis,8
cussing,1
cf,34
fan,3
ningpo,1
fur,2
nishes,1
clue,2
develop,2
wen,9
hsien,7
kao,11
itisinterestingtonotethatmpelliothasrecentlydiscoveredchaptersandofthislostworkinthe,1
grottos,1
thousand,11
buddhas,1
befeo,1
t,3
viii,7
nos,3
chan,1
eras,1
tention,2
replete,1
parallels,1
gist,1
summarized,1
benevolence,3
artice,4
expediency,3
furtherdeclaredthatallthemilitarytriumphsanddisastersofthethousandyears,1
elapsed,1
examination,1
uphold,1
corroborate,1
spiteful,1
charge,4
sidered,1
elsewhere,2
impelled,1
subtle,4
longwinded,1
diffuse,1
writing,1
calls,3
commentatorsonsuntzuandobservesthatchenhaoiscontinuallyattacking,1
tumus,2
shortcomings,1
commentarythough,1
notlacking,1
inmerit,1
mustrank,1
below,5
republished,1
hsieh,2
scanty,2
texture,1
quality,6
meiyaochencommonlyknownbyhisstyleasmeisheng,1
laudatory,1
cull,1
fol,10
lowing,2
misread,1
distorting,1
trying,4
square,1
onesided,1
views,1
lacking,4
few,15
proved,4
friend,2
shengyu,1
fallen,6
attempting,4
provide,1
notlose,1
sight,8
thefact,1
sayings,2
tendedforstatesengagedininternecinewarfarethattheauthorisnotconcerned,1
prevailing,1
sovereigns,5
dynastiesnor,1
prescribed,1
waragain,1
loved,1
diction,1
deep,5
whetherthesubjectbemarchinganarmyorhandlingsoldiersorestimatingthe,1
enemyorcontrollingtheforcesofvictoryitisalwayssystematicallytreatedthe,1
bound,4
logical,1
sequence,2
ob,3
scuredbycommentatorswhohaveprobablyfailedtograsptheirmeaning,1
inhis,1
hsia,5
shang,5
lastnamed,2
nominally,1
existent,1
retained,2
vestige,1
organization,1
gone,10
board,1
suggest,2
li,60
xxix,1
owncommentarymeishengyuhasbrushedasidealltheobstinateprejudicesof,1
critics,1
tried,5
thiswaythecloudsofconfusionhavebeendispersedandthesayingsmadeclear,1
ingscominggenerationswillhaveconstantreasontothankmyfriendshengyu,1
allowance,1
exuberance,1
friendship,1
en,12
dorse,1
favorable,10
judgment,2
merit,3
decidedly,1
terpretations,1
judicious,2
mei,30
yaochen,25
trustworthy,2
guide,2
comparing,1
attering,1
lling,2
lacunae,1
correcting,1
yenhsi,1
commentator,4
chiao,1
ofthetwelfthcenturybutheappearssimplyashoshihintheyuhaiandma,1
tuanlin,1
chiaos,1
shouldhavebeeninclinedtohazardaguessandidentifyhimwithonehochu,1
fei,3
shihs,2
helpful,2
chiey,2
remarkable,5
extracts,1
adapted,1
dynastic,1
histories,1
sources,1
changyuthelistcloseswithacommentatorofnogreatoriginalityperhaps,1
admirable,1
exposition,2
onthatoftsaokungwhosetersesentenceshecontrivestoexpandanddevelop,1
masterly,2
safe,3
cloaked,1
obscurity,1
valueless,1
hai,3
nds,4
niche,1
four,12
ourished,1
within,8
space,3
accounts,2
enjoyed,1
spell,2
andmenceasedtopracticetheartofwar,1
butwhenchaoyuanhaosrebellion,1
cameandthefrontiergeneralsweredefeatedtimeaftertimethecourt,1
strenuous,1
inquiry,2
skilled,4
topics,4
became,3
wylies,1
vogue,1
ofcials,6
mainly,1
sui,5
namely,4
aswangtzuchangtzushangchiahsuofweiandshenyuofwu,1
thetang,1
adds,9
hsiao,6
ming,2
huang,7
junyu,1
merelycollectorsandeditorsofothercommentarieslikechitienpaoandchihsieh,1
exercised,2
potent,1
fascination,1
minds,4
chinas,2
studied,3
pages,1
thusiasmmaybementionedhanhsind,1
bcfengid,1
adlumeng,1
d,4
yo,1
opinion,2
disputes,1
hsin,18
highest,6
annals,2
purely,1
su,4
hsun,3
tungpo,1
essays,1
owe,1
inspiration,1
conqueringis,1
verydifferentindeedfromwhatotherbookstelluswuchiwasaman,1
stamp,1
linked,1
popular,1
speech,1
chis,1
weighty,1
rules,4
rougher,1
crudely,1
statedandthereisnotthesameunityofplanasinsuntzusworkwhere,1
terse,1
thefollowingisanextractfromtheimpartialjudgmentsinthegardenofliterature,1
hou,10
loc,1
cit,2
person,1
init,8
europeans,1
opportunity,7
acquainting,1
behindhandintheirpraise,1
inthisconnectionimayperhapsbeexcusedforquotingfromaletterfromlord,1
robertstowhomthesheetsofthepresentworkweresubmittedprevioustopublication,1
manyofsunwus,1
maximsareperfectlyapplicabletothepresentdayandno,1
inchapterviiiisonethatthepeopleofthis,1
country,33
heart,7
iv,8
allusion,2
ix,7
suntzuschaptersarenotonlythestapleandbaseofallmilitarymens,1
trainingbutalsocompelthemostcarefulattentionofscholarsandmenof,1
letters,1
hissayingsareterseyetelegantsimpleyetprofoundperspicuous,1
eminently,1
lun,4
thegreatcommentaryaswellasthewritingsofmenciushsunkuang,1
fall,10
level,4
commenting,1
admits,1
dislikes,1
audacious,1
venerated,2
encourages,1
rulers,3
bent,3
unrelenting,1
militarism,2
accustomed,2
china,3
peaceloving,1
nation,2
earth,13
danger,10
forgetting,2
phases,1
modern,5
parallel,1
stretch,2
mists,1
she,10
built,3
wall,5
maintaining,1
huge,2
along,6
frontier,3
centuries,2
roman,2
legionary,1
danube,1
perpetual,1
collisions,1
grim,1
conicts,1
huns,1
turks,2
invaders,2
centralization,1
terric,1
upheavals,1
accompanied,2
overthrow,3
ofsomanydynastiesbesidesthecountlessrebellionsandminordisturbancesthathave,1
amedupandickeredoutagainonebyoneitishardlytoomuchtosaythattheclash,1
arms,4
resound,1
portion,3
succession,1
illustrious,2
captains,1
pride,1
emerging,1
fateful,1
crises,1
conspicuous,2
remaining,3
independent,2
stormy,1
breakup,1
illuminated,1
transcendent,1
house,3
tottering,1
baleful,2
gure,4
dominates,1
establishment,3
dynastyone,1
mightiest,1
tasks,1
superhumanenergyoflishihminafterwardstheemperortaitsungwasseconded,1
bythebrilliantstrategyofliching,1
noneofthesegeneralsneedfearcomparisonwith,1
inspiteofallthisthegreatbodyofchinesesentimentfromlaotzudownwards,1
andespeciallyasreectedinthestandardliteratureofconfucianismhasbeenconsist,1
ently,2
pacic,2
intensely,1
opposed,2
uncommon,1
literati,1
defending,3
principle,7
thought,5
collect,3
unorthodox,1
upheld,1
ardent,1
admiration,1
confucius,12
advocate,1
price,1
weapons,11
sage,3
punish,1
violence,1
crueltytogivepeacetotroubloustimestoremovedifcultiesanddangers,1
peril,7
animal,1
blood,3
veins,1
horns,3
ght,42
willmanwhocarriesinhisbreastthefacultiesofloveandhatredjoyand,1
anger,4
pleased,1
affection,2
springs,2
whenangryhispoisonedstingisbroughtintoplay,1
thatisthenaturallaw,1
governs,1
blind,2
issues,1
appreciation,1
relat,1
ive,4
values,1
bark,2
stale,1
formulas,1
virtue,2
civilization,1
condemning,3
surely,6
impotence,1
dishonor,1
rightful,1
heritage,1
invasion,1
sacriceofterritoryandgeneralenfeeblement,1
yettheyobstinatelyrefuse,1
modify,2
position,38
truth,7
teacher,2
spare,1
rod,1
punishments,4
pensed,1
chastisement,1
allowed,8
fallintoabeyanceintheempire,1
allonecansayisthatthispowerwillbe,1
wisely,2
foolishly,2
bear,2
loyal,3
rebellious,1
piece,5
dened,7
punishment,3
functions,2
profession,3
jan,5
disciples,1
ofconfucius,1
nowadaystheholdingoftrialsandhearingoflitigationthe,1
imprisonment,1
execution,2
ogging,1
market,1
placearealldonebyofcials,1
butthewieldingofhugearmiesthethrow,1
fortied,5
cities,7
hauling,1
children,3
cap,1
tivity,1
beheading,1
traitors,4
rack,1
thesame,2
thereisnointrinsicdifferencebetweenthepunishmentofog,1
ging,1
cutting,5
heads,6
lesser,3
infractions,1
law,6
easily,3
dealt,3
small,13
force,35
wholesale,2
decapitation,1
cases,2
get,17
rid,2
wicked,1
comfort,2
relief,3
chisun,2
sir,3
acquired,2
aptitude,1
innate,1
studyhow,1
disciple,1
taught,2
tting,1
exercise,1
sure,8
instruction,2
rigid,1
limitation,1
separate,5
sphere,2
action,6
introduced,1
members,1
governing,2
afraid,5
enlarging,1
shamefacedmanner,1
ifanyareboldenoughtodiscussthesubjecttheyare,1
atoncesetdownaseccentricindividualsofcoarseandbrutalpropensities,1
thisisanextraordinaryinstanceinwhichthroughsheerlackofreasoning,1
unhappily,1
fundamental,3
regulated,3
ceremonies,2
music,2
arts,1
scholarship,1
learning,1
barbarians,3
river,20
huai,1
revoltedhe,1
sallied,2
chastised,1
meeting,3
convened,1
chiakuhe,1
ne,2
gotiations,1
progress,1
warlike,5
preparations,3
beforehand,5
rebuked,1
shamed,1
marquis,2
cowered,1
underhimanddarednotproceedtoviolence,1
howcanitbesaidthatthese,1
knowledge,16
esteem,1
appeals,1
master,2
answering,1
studiedmattersconnectedwitharmiesandbattalionsreplyingtokung,1
wentzuhesaid,1
ihavenotbeeninstructedaboutbuffcoatsandweapons,1
butifweturntothemeetingatchiakuwendthatheusedarmedforce,1
lai,1
overawed,2
whentheinhabitantsofpirevoltedtheorderedhisofcerstoattackthem,1
confusion,7
uttered,3
ifighticonquerandjanyualsosaid,1
thesageexercises,1
functionscan,1
specially,1
connected,5
teaching,2
suntzu,1
writes,1
strain,2
unversed,2
mattershe,1
conquer,10
constitutes,1
ve,23
classes,4
ceremonialand,1
xv,1
trace,1
utterance,1
supra,12
worship,1
mourning,1
entertainment,1
guests,1
festive,1
rites,1
branch,1
iamunversedinmustbetakentomeanthattherearethingswhicheven,1
inspired,2
lead,5
devise,2
stratagems,2
services,4
oneself,2
remark,3
added,4
interpret,2
narrowest,1
meant,9
artofwarwerenotworthreading,1
withblindpersistencytheyadducethe,1
example,8
kua,4
pored,1
fathers,1
useless,3
opportunism,2
designing,1
hold,11
immoral,1
unworthy,1
ignore,1
studies,1
administration,1
require,2
steadyapplication,1
practicebeforeefciencyisreached,1
theancientswereparticularlychary,1
allowing,2
novices,1
botch,1
workweapons,1
baneful,1
perilous,2
constant,5
hazard,1
mens,3
battlehence,1
liang,7
instruct,1
nephew,1
chiin,1
bearings,1
pursue,2
studiestotheirproperoutcometheconsequencebeingthathewasnally,1
realize,2
tricks,1
verbal,1
computation,1
misplaced,1
humanity,5
underhand,1
nature,6
necessitates,2
guile,1
suited,2
record,2
violated,1
extorted,1
oathand,1
disguisecan,1
recklessly,2
arraign,1
regarding,3
xiii,3
where,31
tzuchan,1
beautiful,1
brocade,1
employ,6
learner,1
tao,5
te,3
bibliography,3
wutzuinchuanorchaptersbywuchidbcagenuinework,1
wrongly,1
ofthethcenturybcitsdatehowevermustbeearlyasthecustomsofthethree,1
ancientdynastiesareconstantlytobemetwithinitspagesseeshihchich,1
ssu,5
oldest,1
generally,4
concerned,1
producing,1
collecting,2
training,2
regard,11
transport,1
goods,2
handling,1
contrast,1
usually,1
blended,1
metaphysics,1
divination,3
magical,1
artsin,1
liutaoinchuanorchaptersattributedtoluwangorlushangalso,1
knownastaikungofthethcenturybcbutitsstyledoesnotbelongtothe,1
era,1
teming,1
enumerates,2
headings,1
weiliaotzuinchuanattributedtoweiliaothcentbcwhostud,1
iedunderthefamouskueikutzutheworkappearstohavebeenoriginallyin,1
chapterswhereasthetextwepossesscontainsonlyitsmatterissoundenough,1
strategical,4
devices,3
warring,1
wellknown,1
philosopher,1
sanluehinchuanattributedtohuangshihkungalegendarypersonage,1
bridge,1
dating,1
periodthehanemperorkuangwuadapparentlyquotesfromitinone,1
proclamations,1
inserted,1
humble,2
station,1
inordertoprovethegenuinenessoftheworkweshallnotbefaroutifwereferit,1
northern,1
liweikungwentuiinsectionswrittenintheformofadialoguebetween,1
taitsungandhisgreatgenerallichingitisusuallyascribedtothelattercom,1
petentauthoritiesconsideritaforgerythoughtheauthorwasevidentlywellversed,1
confounded,1
foregoing,2
separately,1
legendary,1
feng,1
exegetical,1
kungsun,1
hung,1
eulogized,1
celebrated,1
lung,6
consideringthehighpopularestimationinwhichchukolianghasalwaysbeenheld,1
isnot,2
tond,1
morethan,1
onework,1
onwar,1
ascribedto,1
hispen,1
suchare,1
theshihliutsechuanpreservedintheyunglotatienchiang,1
steals,1
slightest,2
encyclopedias,1
extensive,1
literature,1
followingreferences,1
circa,2
cent,5
hui,1
kuang,6
chio,1
lei,2
kuchintushuchichengsectionxxxesp,1
bibliographical,1
deserve,1
yao,5
thepreviouslymentionedworksaretheoldestchinesetreatisesonwaraftersuntzu,1
drawn,5
principally,1
sqq,3
tsaokungindeningthemeaningofthechineseforthetitleofthischaptersaysit,1
deliberations,4
selected,1
temporary,1
tent,1
artof,2
vital,2
importance,8
road,8
safety,8
ruin,5
neglected,1
governed,1
factors,2
ones,12
seeking,2
determine,2
obtaining,1
moral,5
heaven,13
mander,1
method,6
discipline,14
itappearsfromwhatfollowsthatsuntzumeansbymorallawaprin,1
ciple,1
harmony,7
unlike,2
lao,2
aspect,1
render,5
morale,1
attribute,1
causes,8
accord,5
rulersothattheywillfollowhimregardlessoftheirlivesundismayedby,1
tuyuquoteswangtzuassaying,2
withoutconstantpracticetheofcers,2
willbenervousandundecidedwhenmusteringforbattlewithoutconstant,2
wavering,2
irresolute,2
crisis,2
signies,1
night,15
cold,2
heat,1
times,4
seasons,3
unnecessary,2
soft,1
waxing,2
waning,2
economy,2
elements,3
wind,12
clouds,3
phenomena,1
comprises,1
distances,4
security,2
open,18
narrow,9
thecommanderstandsforthevirtuesofwisdomsincerelybenevol,1
ence,2
courage,18
strictness,1
thevecardinalvirtuesofthechinesearehumanityorbenevolence,1
uprightnessofmindselfrespectselfcontrolorproperfeeling,1
wisdom,4
faith,4
virtues,3
courageandstrictnesssubstitutedforuprightnessofmindandself,1
selfcontrol,1
marshaling,1
subdivisions,2
graduations,1
rank,4
maintenance,1
roads,5
supplies,7
control,6
militaryexpenditure,1
familiar,2
victorious,4
whoknows,1
wise,10
imbued,1
subjects,1
lie,4
advantages,11
rigorously,1
enforced,3
whowassuchastrictdisciplinarianthatonceinaccordancewithhisown,1
severeregulationsagainstinjurytostandingcropshecondemnedhimself,1
todeathforhavingallowedhimhorsetoshyintoaeldofcorn,1
lieu,1
losing,3
persuaded,1
satisfy,1
bycuttingoffhishair,1
tsaotsaosowncommentonthepresentpassage,1
characteristically,1
curt,1
lay,6
disobeyed,2
offender,1
stronger,2
morally,1
physically,1
puts,11
freely,2
rendered,2
espirit,1
corps,1
battalions,2
highly,4
trained,2
greater,7
constancy,1
reward,2
pun,1
ishment,1
onwhichsideistherethemostabsolutecertaintythatmeritwillbeprop,1
erly,1
rewarded,4
misdeeds,1
summarily,1
punished,3
seven,4
considerations,2
forecast,1
hearkens,2
counsel,5
acts,3
quer,1
nor,10
suffer,6
dismissed,2
paragraph,1
reminds,2
posedexpresslyforthebenetofhispatronholukingofthewustate,1
heading,2
prot,1
avail,2
yourself,7
circumstances,5
ordinary,10
accordingascircumstancesarefavorableoneshouldmodifyonesplans,1
bookish,1
theoric,1
cautions,1
abstract,1
laws,2
strategy,3
sundry,2
guided,1
ac,4
secure,9
waterloo,3
lord,2
uxbridge,2
cavalry,4
wellington,4
morrow,1
explained,6
suddenly,9
commanderinchief,5
frame,1
moment,12
listened,1
quietly,3
tomorrow,1
bonaparte,4
projects,1
depend,1
expect,2
mine,1
basedon,1
deception,3
w,1
fraser,1
pithy,1
profound,1
admitted,4
col,7
henderson,5
milit,1
aryqualitieswasespeciallydistinguishedbytheextraordinaryskillwith,1
concealed,2
movements,7
deceived,2
hencewhenabletoattackwemustseemunablewhenusingourforces,1
inactive,1
near,10
lieve,1
believe,7
baits,2
entice,3
feign,3
disorder,11
crush,7
himitismorenaturaltosupposethatsuntzuisstillillustratingtheuses,1
superior,6
evade,1
opponent,10
choleric,1
temper,5
irritate,1
pretend,2
arrogant,1
tactician,1
plays,1
adversaryasacatplayswithamouserstfeigningweaknessandimmob,1
ility,1
pouncing,1
ease,7
rest,7
isprobably,1
meiyaochen,1
thenote,1
tire,2
lure,5
plausibleis,1
interpretationfavored,1
ofthe,1
arein,1
division,5
heis,1
unprepared,2
expected,3
divulged,3
nowthegeneralwhowinsabattlemakesmanycalculationsinhistemple,1
ere,1
fought,4
changyutellsusthatinancienttimesitwascustomaryforatempletobe,1
elaborate,2
plan,7
loses,1
calcu,1
lation,1
attention,3
foresee,2
wishes,6
count,2
cost,1
preparesusforthediscoverythatthesubjectofthechapterisnotwhatwemightexpect,1
title,4
intheoperationsofwarwherethereareintheeldathou,1
sandswiftchariotsasmanyheavychariotsandahundredthousandmail,1
clad,1
swift,3
chariots,10
lightly,1
heavy,8
heavier,1
designed,2
pur,2
poses,1
defense,11
analogies,1
homeric,1
greeks,1
chariot,5
factor,2
forming,4
grouped,1
footsoldiers,2
numbers,15
informed,3
accom,1
panied,1
footmen,2
consist,2
provisions,7
mile,1
length,3
varied,2
slightly,3
theexpenditureathomeandatthefrontincludingentertainmentofguests,1
items,1
glue,1
paint,1
sums,3
spent,2
armor,1
willreachthetotalofathousandouncesofsilverperday,1
suchisthecost,1
raising,3
engage,4
coming,7
dull,1
ardor,2
damped,2
town,8
exhaust,2
protracted,2
resources,5
dulled,1
treasure,4
chieftains,3
extremity,1
able,20
avert,2
consequences,1
thatmust,1
ensue,2
stupid,6
haste,5
cleverness,3
associated,1
withlong,1
delays,1
sentence,10
effect,7
naturally,4
sheer,4
saves,1
expenditure,4
clever,8
calamity,2
train,2
evades,1
difculty,7
lengthyoperationsmeananarmygrowingoldwealthbeingexpen,1
ded,1
empty,1
exchequer,3
distress,2
insures,1
occurrence,1
calamities,3
attained,4
preferable,1
dilat,1
oriness,1
implic,1
illconsidered,1
ingenious,1
lengthy,4
something,8
guarded,1
speed,7
injudicious,1
tardiness,2
foolish,1
impoverishment,2
na,2
fabius,2
cunctator,1
inevitably,1
liberately,1
endurance,1
rome,1
hannibalss,1
isolated,3
seemed,1
strange,3
moot,1
questionwhetherhistacticswouldhaveprovedsuccessfulinthelongrun,1
reversal,2
cannae,1
presumption,1
thereisnoinstanceofacountryhavingbenetedfromprolongedwarfare,1
evils,1
understand,6
protable,2
carrying,2
disastrous,3
bringing,2
interpretation,8
logic,1
rendering,3
doesnotknowtheevilsofwarcannotappreciateitsbenetsisdistinctly,1
pointless,1
skillful,7
raise,3
levy,4
neither,5
supply,5
wagons,2
loaded,1
twice,6
oncewarisdeclaredhewillnotwasteprecioustimeinwaitingforrein,1
forcementsnorwillhereturnhisarmybackforfreshsuppliesbutcrosses,1
theenemysfrontierwithoutdelay,1
thismayseemanaudaciouspolicyto,1
recommend,1
strategists,1
julius,1
caesar,2
napoleon,5
oppon,2
counted,1
numerical,5
superiority,2
nicest,1
tocommissariat,1
material,2
home,7
forage,3
food,11
needs,2
thechinesewordtranslatedhereaswarmaterialliterallymeansthings,1
widest,1
includes,1
impedi,2
menta,2
fromprovisions,1
poverty,1
maintained,3
tributions,1
distance,13
contributing,1
maintain,4
impoverished,1
balance,1
obviously,2
awkwardthaticannothelpsuspectingsomecorruptioninthetext,1
itnever,1
emendation,2
cessary,1
help,6
indicate,2
peoples,3
clearlyhavereferencetosomesystembywhichthehusbandmensenttheir,1
contributions,1
corn,2
poor,3
proximity,1
prices,2
substance,3
drained,2
wanghsisayshighpricesoccurbeforethearmyhasleftitsownterritory,1
tsaokungunderstandsitofanarmythathasalreadycrossedthefrontier,1
peasantry,1
aficted,1
exactions,1
exhaustion,1
homes,2
stripped,2
bare,2
threetenths,1
income,2
sipated,1
mulcted,1
extracted,1
characteristic,1
tag,1
regarded,1
broken,3
wornout,2
horses,8
breast,1
platesandhelmetsbowsandarrowsspearsandshieldsprotectivemantles,1
draughtoxenandheavywagonswillamounttofourtenthsofitstotalrev,1
enue,1
foraging,1
cart,1
load,1
enemys,68
equivalent,5
twenty,2
single,14
picul,2
provender,1
becausetwentycartloadswillbeconsumedintheprocessoftransporting,1
cartload,1
unit,1
measure,1
pounds,2
kilograms,1
nowinordertokilltheenemyourmenmustberousedtoangerthatthere,1
maybeadvantagefromdefeatingtheenemytheymusthavetheirrewards,1
rewards,8
beating,4
spoils,3
keen,6
onhis,1
ags,4
substituted,1
mingled,1
ours,4
captured,3
kindly,1
called,14
usingthe,1
conquered,3
augment,1
object,11
campaigns,1
ashoshihremarks,1
warisnotathingtobetriedwithsuntzuhere,1
reiterates,1
lesson,3
enforce,1
thusitmaybeknownthattheleaderofarmiesisthearbiterofthepeoples,1
depends,5
whether,9
intact,3
shatter,1
destroy,7
sotooitisbettertorecaptureanarmyentirethantodestroyittocapture,1
regiment,1
detachment,3
company,2
entire,3
theequivalenttoanarmycorpsaccordingtossumafaconsistednom,1
inally,1
regi,1
mentcontainedmentheequivalenttoadetachmentconsistsfromany,1
exact,3
respectively,3
battles,10
excellence,4
consists,2
breaking,3
resistance,4
approve,2
moltkes,1
triumph,3
capitulation,1
sedan,1
waswon,1
bloodshed,2
formof,1
generalship,3
balk,3
falls,5
expressing,1
implies,2
attitude,2
whereby,3
foil,2
activepolicyofcounterattack,1
hoshihputsthisveryclearlyinhisnote,1
whentheenemyhasmadeaplanofattackagainstuswemustanticipate,1
delivering,1
prevent,6
junction,2
isolating,1
allies,5
forget,1
speak,2
principalities,1
hisday,1
fullstrength,1
worst,2
policy,6
besiege,2
walled,2
avoided,1
boers,1
acted,4
dissipating,1
kimberley,1
mafeking,1
ladysmith,2
masters,2
situation,6
british,1
oppose,5
preparation,1
mantlets,2
movable,1
shelters,1
various,4
implements,2
months,4
described,3
denes,6
shields,1
protect,4
assaulting,1
city,12
walls,12
quarters,2
testudo,1
wheeled,1
vehicles,1
repelling,1
denied,1
turrets,2
citywalls,1
ofthemovableshelterswegetafairlycleardescriptionfrom,1
severalcommentators,1
theywerewoodenmissileproofstructuresonfour,1
wheels,2
propelled,1
covered,4
raw,1
hides,3
sieges,1
convey,1
parties,1
encircling,1
moat,1
wooden,1
donkeys,2
piling,1
mounds,2
ramparts,2
heaped,1
discover,2
preceding,1
irritation,1
launch,1
assault,2
swarming,1
ants,2
vivid,2
simile,5
spectacle,2
climbing,2
patience,1
atthelongdelaymaymakeaprematureattempttostormtheplacebefore,1
engines,1
result,11
onethird,1
remains,5
untaken,1
arethe,1
weareremindedoftheterriblelossesofthejapanesebeforeportarthur,1
recent,2
thereforetheskillfulleadersubduestheenemystroopswithoutanyght,1
captures,1
overthrows,1
chialinnotesthatheonlyoverthrowsthegovernmentbutdoesnoharm,1
toindividuals,1
theclassicalinstanceiswuwangwhoafterhavingputan,1
endtotheyindynastywasacclaimedfatherandmotherofthepeople,1
dispute,3
mastery,1
double,3
different,11
weapon,1
blunted,1
byuse,1
keenness,1
attacking,11
surround,2
waiting,5
divide,4
violate,1
regular,4
special,4
diversion,3
elucidates,1
divisions,5
meet,7
rear,23
replies,2
frontal,3
behind,11
rearwardattack,1
becrushed,1
frontthis,1
ismeant,1
sayingthatonepartmaybeusedintheregularwayandtheotherforsome,1
dividing,3
irregular,1
concentrating,3
hastyin,1
calling,1
matched,1
paraphrase,3
tackersandattackedareequallymatchedinstrengthonlytheablegeneral,1
inferior,6
avoid,3
watch,6
improve,1
ment,4
unfortunately,1
authorityforthevariant,1
changyuremindsusthatthesayingonlyapplies,1
counterbalanced,1
unequal,1
ee,2
hencethoughanobstinateghtmaybemadebyasmallforceintheend,1
thelarger,1
bulwark,3
defective,2
tersely,1
gap,1
deciency,1
lack,5
therearethreewaysinwhicharulercanbringmisfortuneuponhisarmy,1
commanding,3
advance,19
retreat,24
ignorant,3
obey,3
hobbling,1
comment,2
tying,1
legs,1
thor,1
oughbredsothatitisunabletogalloponewouldnaturallythinkofthe,1
rulerinthispassageasbeingathomeandtryingtodirectthemovements,1
reverse,2
quote,5
governedfromwithoutandarmyshouldnotbedirectedfromwithinof,1
engagement,1
thick,5
liable,2
misjudge,1
wrong,3
govern,2
administers,1
obtain,4
restlessness,1
tsaokungsnoteisfreelytranslated,1
themilitarysphereandthecivil,1
cant,1
kid,1
gloves,1
exibility,1
assimilate,1
armyto,1
employing,2
theofcers,1
discrimination,1
carefulto,1
throughignoranceofthemilitaryprincipleofadaptationtocircumstances,1
shakes,1
condenceof,1
follow,12
rulerasinssbuttotheofcersheemploys,1
thustuyusays,1
ageneralisignorantoftheprincipleofadaptabilityhemustnotbeentrus,1
ted,4
employer,1
brave,5
covetous,2
delights,1
establishing,1
likes,1
quick,1
seizing,4
butwhenthearmyisrestlessanddistrustfultroubleissuretocomefrom,1
anarchy,1
inging,1
essentials,1
ghtand,1
advances,2
offensive,6
retreats,2
defensive,13
invari,1
ably,1
hewillwinwhoknowshowtohandlebothsuperiorandinferiorforces,1
correctly,2
expounds,2
isfactorily,1
applying,2
vice,2
versa,3
secret,13
lies,8
eye,2
locality,1
letting,5
slip,1
periorforcemakeforeasygroundwithaninferioronemakefordifcult,1
animated,1
spirit,16
throughout,1
ranks,7
waits,1
unpre,1
pared,1
hewillwinwhohasmilitarycapacityandisnotinterferedwithbythe,1
function,1
broadinstructionsbuttodecideonbattleitisthefunctionofthegeneral,1
itisneedlesstodilateonthemilitarydisasterswhichhavebeencausedby,1
undueinterferencewithoperationsintheeldonthepartofthehomegov,1
undoubtedly,1
owed,1
nothampered,1
central,2
gained,9
cites,2
prince,7
marched,3
vast,2
warned,1
despise,1
anandhuanchungheboastfullyreplied,1
ihavethepopulationofeight,1
provincesatmybackinfantryandhorsementothenumberofonemillion,1
whytheycoulddamuptheyangtszeriveritselfbymerelythrowingtheir,1
whips,1
stream,5
soon,6
disastrously,1
routed,6
obliged,6
hasty,2
succumb,1
knowing,3
enables,4
knowingyourselfenablesyoutostandonthedefensiveheadds,1
planning,1
epitome,1
rootprinciple,1
countermarching,1
discov,1
ering,1
condition,14
conceal,4
remain,7
leads,3
become,6
patent,1
modifying,1
ghters,1
waited,2
defeating,3
tosecureourselvesagainstdefeatliesinourownhandsbuttheopportun,1
ity,2
enemyis,1
provided,4
ghter,4
concealing,2
covering,2
tracks,2
unremitting,1
precautions,3
ofdefeating,1
hencethesaying,2
onemayknowhowtoconquerwithoutbeingableto,1
emy,3
retain,1
thatthecommentatorsareallagainstme,1
themeaningtheygivehewho,1
plausible,2
insufcient,1
perabundance,1
recesses,1
literally,17
metaphor,2
indicating,1
utmost,6
secrecy,4
concealment,2
whereabouts,1
hewhoisskilledinattackashesforthfromthetopmostheightsofheaven,1
implying,1
adversary,11
thunder,4
boltagainstwhichthereisnotimetoprepare,1
thisistheopinionofmost,1
ourselves,4
ken,1
herd,1
acme,1
astsaokungremarksthethingistoseetheplantbeforeithasgermin,1
ated,1
event,1
begun,3
vastly,2
strongly,3
entrenched,1
chengan,1
saidtohisofcers,1
gentlemenwearegoingtoannihilatetheenemyand,1
dinner,1
dubious,1
assent,1
worked,1
foresaw,1
inict,3
neitherisittheacmeofexcellenceifyoughtandconquerandthewhole,1
trueexcellencebeingastumusays,1
toplansecretlytomovesurrepti,1
tiously,1
intentions,3
schemes,3
won,5
shedding,1
drop,3
reserves,1
approbation,1
worlds,1
coarse,1
thumb,1
nger,2
plumb,1
lift,2
hairis,1
sign,10
hair,1
hare,4
nest,1
au,1
tumn,1
begins,2
afresh,1
phrase,1
moon,4
sharp,4
noise,2
quickear,1
hoshihgivesasrealinstancesofstrengthsharpsightandquickhearing,1
huo,1
tripod,1
weighing,1
stone,4
paces,1
bigger,1
mustard,1
seed,1
musician,1
footsteps,1
mosquito,1
wins,4
excels,1
winning,3
thelasthalfisliterallyonewhoconqueringexcelsineasyconquering,1
meiyaochensays,4
hewhoonlyseestheobviouswinshisbattleswith,1
looks,2
surface,1
hencehisvictoriesbringhimneitherreputationforwisdomnorcreditfor,1
inasmuch,2
victories,4
reputation,1
hostile,11
submits,1
receives,3
battlesby,1
superuous,1
devises,1
futile,2
ideas,1
seeks,2
ning,2
pitched,5
future,1
discern,2
manifest,1
makea,1
blunder,1
invariably,2
